iter	Passed	Remaining
0	1	134
1	2	131
2	3	119
3	4	118
4	5	110
5	6	105
6	7	104
7	8	100
8	9	99
9	11	99
10	12	99
11	13	97
12	14	94
13	15	92
14	15	90
15	17	89
16	18	87
17	19	86
18	20	86
19	21	85
20	22	84
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	76
27	29	75
28	30	74
29	31	72
30	31	71
31	32	69
32	33	68
33	34	67
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	60
42	44	59
43	45	57
44	45	56
45	46	54
46	47	53
47	48	52
48	49	51
49	51	51
50	52	50
51	53	49
52	54	48
53	56	47
54	57	46
55	58	45
56	58	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	71	33
68	72	32
69	73	31
70	74	30
71	74	29
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
