iter	Passed	Remaining
0	143	143591
1	148	73923
2	150	50127
3	152	37951
4	154	30725
5	161	26719
6	163	23190
7	165	20462
8	166	18353
9	169	16825
10	176	15827
11	178	14696
12	180	13721
13	182	12864
14	184	12098
15	186	11482
16	190	11015
17	193	10546
18	195	10077
19	196	9650
20	198	9269
21	201	8938
22	204	8687
23	207	8454
24	209	8176
25	210	7904
26	212	7666
27	214	7435
28	218	7304
29	223	7238
30	225	7051
31	228	6905
32	230	6751
33	233	6647
34	237	6535
35	239	6402
36	240	6271
37	242	6143
38	245	6039
39	249	5986
40	253	5920
41	254	5810
42	256	5704
43	258	5616
44	262	5578
45	266	5527
46	268	5442
47	270	5368
48	272	5294
49	276	5260
50	279	5204
51	281	5139
52	283	5064
53	285	4997
54	286	4930
55	290	4897
56	294	4870
57	297	4824
58	300	4786
59	301	4726
60	305	4710
61	308	4665
62	310	4624
63	312	4571
64	314	4520
65	315	4469
66	317	4421
67	320	4393
68	323	4360
69	325	4319
70	326	4274
71	328	4230
72	330	4197
73	332	4158
74	336	4148
75	338	4121
76	341	4087
77	342	4053
78	344	4019
79	346	3981
80	349	3965
81	351	3936
82	352	3899
83	354	3870
84	356	3836
85	358	3807
86	360	3779
87	361	3746
88	364	3734
89	369	3732
90	371	3707
91	372	3680
92	374	3653
93	376	3626
94	381	3638
95	384	3619
96	386	3599
97	388	3574
98	389	3548
99	391	3522
100	393	3506
101	396	3494
102	398	3471
103	400	3446
104	401	3420
105	402	3396
106	404	3374
107	405	3351
108	408	3342
109	411	3328
110	413	3311
111	415	3292
112	416	3269
113	417	3247
114	419	3226
115	420	3207
116	422	3186
117	424	3172
118	426	3159
119	428	3143
120	430	3130
121	432	3115
122	435	3102
123	437	3087
124	441	3091
125	443	3079
126	445	3063
127	447	3049
128	449	3033
129	450	3016
130	453	3005
131	456	3002
132	459	2995
133	461	2981
134	462	2966
135	464	2950
136	465	2934
137	467	2920
138	470	2913
139	472	2901
140	474	2888
141	475	2873
142	477	2859
143	478	2845
144	480	2831
145	481	2816
146	482	2802
147	486	2798
148	488	2787
149	489	2774
150	491	2762
151	493	2751
152	495	2742
153	497	2730
154	500	2728
155	505	2733
156	508	2728
157	515	2748
158	518	2741
159	519	2728
160	520	2713
161	522	2702
162	524	2691
163	525	2679
164	527	2667
165	530	2662
166	532	2655
167	534	2646
168	536	2636
169	538	2626
170	539	2616
171	541	2607
172	543	2600
173	546	2593
174	548	2585
175	550	2576
176	551	2566
177	553	2556
178	555	2547
179	557	2538
180	559	2530
181	563	2532
182	565	2523
183	566	2514
184	568	2505
185	570	2494
186	571	2485
187	574	2480
188	577	2477
189	580	2473
190	582	2467
191	584	2459
192	586	2452
193	587	2442
194	590	2437
195	593	2434
196	595	2428
197	597	2420
198	599	2412
199	601	2405
200	603	2398
201	606	2396
202	609	2391
203	612	2389
204	614	2381
205	615	2372
206	617	2364
207	619	2358
208	623	2359
209	625	2353
210	627	2347
211	630	2345
212	632	2338
213	635	2335
214	640	2338
215	642	2332
216	645	2329
217	648	2324
218	652	2327
219	658	2334
220	662	2335
221	664	2328
222	672	2342
223	674	2335
224	676	2329
225	679	2326
226	684	2330
227	687	2326
228	689	2319
229	690	2313
230	693	2307
231	695	2300
232	697	2297
233	700	2291
234	702	2286
235	704	2280
236	705	2272
237	708	2267
238	709	2260
239	711	2253
240	715	2254
241	718	2250
242	720	2244
243	722	2237
244	723	2230
245	725	2223
246	727	2217
247	729	2212
248	732	2209
249	735	2206
250	737	2200
251	739	2195
252	743	2195
253	746	2192
254	748	2187
255	750	2180
256	752	2174
257	753	2167
258	755	2161
259	758	2159
260	762	2159
261	764	2154
262	766	2147
263	768	2142
264	770	2136
265	772	2131
266	775	2128
267	777	2123
268	779	2118
269	781	2111
270	782	2104
271	784	2099
272	785	2092
273	789	2092
274	792	2089
275	794	2085
276	796	2079
277	798	2073
278	799	2066
279	801	2060
280	802	2054
281	805	2051
282	807	2046
283	809	2040
284	810	2034
285	812	2027
286	813	2021
287	815	2016
288	816	2009
289	818	2004
290	821	2001
291	823	1997
292	825	1991
293	826	1985
294	828	1980
295	830	1974
296	833	1973
297	836	1971
298	839	1968
299	842	1964
300	844	1961
301	846	1955
302	847	1950
303	850	1948
304	852	1943
305	854	1938
306	856	1932
307	858	1928
308	860	1923
309	861	1917
310	864	1916
311	867	1912
312	870	1910
313	872	1905
314	873	1899
315	875	1894
316	876	1888
317	881	1890
318	883	1886
319	885	1881
320	887	1876
321	888	1871
322	892	1870
323	896	1870
324	898	1867
325	900	1862
326	902	1858
327	904	1852
328	905	1847
329	908	1845
330	911	1841
331	913	1837
332	914	1832
333	916	1826
334	917	1821
335	919	1816
336	921	1812
337	923	1809
338	926	1805
339	928	1801
340	930	1797
341	931	1792
342	932	1786
343	933	1780
344	935	1776
345	938	1774
346	941	1771
347	942	1766
348	944	1761
349	946	1757
350	948	1753
351	950	1748
352	953	1746
353	955	1744
354	958	1741
355	960	1737
356	962	1732
357	964	1729
358	966	1724
359	968	1722
360	970	1718
361	980	1727
362	982	1723
363	988	1726
364	990	1722
365	992	1720
366	994	1716
367	998	1714
368	1000	1711
369	1003	1708
370	1006	1707
371	1009	1703
372	1010	1698
373	1014	1697
374	1016	1693
375	1017	1689
376	1019	1684
377	1021	1680
378	1022	1676
379	1024	1672
380	1027	1668
381	1032	1670
382	1035	1668
383	1039	1667
384	1041	1663
385	1044	1661
386	1047	1659
387	1051	1657
388	1053	1655
389	1056	1651
390	1059	1650
391	1063	1649
392	1069	1652
393	1071	1648
394	1075	1647
395	1078	1644
396	1079	1640
397	1082	1637
398	1084	1633
399	1086	1630
400	1089	1626
401	1092	1625
402	1095	1622
403	1098	1621
404	1100	1617
405	1103	1613
406	1105	1611
407	1107	1607
408	1109	1603
409	1111	1599
410	1112	1594
411	1114	1590
412	1115	1586
413	1117	1581
414	1118	1576
415	1120	1572
416	1122	1569
417	1124	1565
418	1125	1561
419	1127	1557
420	1129	1553
421	1130	1548
422	1132	1544
423	1135	1542
424	1137	1539
425	1139	1535
426	1141	1531
427	1142	1527
428	1144	1522
429	1145	1518
430	1147	1514
431	1149	1511
432	1152	1508
433	1153	1504
434	1155	1500
435	1156	1496
436	1158	1492
437	1159	1487
438	1160	1483
439	1162	1479
440	1163	1475
441	1166	1472
442	1168	1469
443	1169	1465
444	1171	1460
445	1172	1456
446	1174	1452
447	1175	1448
448	1177	1445
449	1179	1441
450	1181	1438
451	1183	1434
452	1185	1430
453	1186	1427
454	1188	1423
455	1189	1419
456	1191	1415
457	1192	1411
458	1194	1407
459	1197	1405
460	1199	1401
461	1200	1397
462	1201	1393
463	1203	1389
464	1205	1386
465	1206	1382
466	1207	1378
467	1209	1374
468	1211	1372
469	1213	1368
470	1214	1364
471	1216	1360
472	1217	1356
473	1220	1354
474	1222	1351
475	1224	1347
476	1227	1346
477	1229	1343
478	1231	1339
479	1233	1335
480	1234	1331
481	1235	1327
482	1236	1323
483	1238	1320
484	1239	1316
485	1242	1314
486	1244	1310
487	1245	1306
488	1246	1302
489	1248	1299
490	1249	1295
491	1251	1291
492	1252	1288
493	1256	1286
494	1259	1284
495	1261	1281
496	1263	1278
497	1265	1275
498	1266	1272
499	1268	1268
500	1272	1267
501	1274	1264
502	1276	1260
503	1277	1257
504	1279	1254
505	1281	1251
506	1282	1247
507	1284	1244
508	1288	1242
509	1290	1239
510	1291	1236
511	1293	1232
512	1295	1229
513	1296	1226
514	1298	1223
515	1302	1221
516	1305	1219
517	1307	1216
518	1308	1213
519	1310	1209
520	1312	1206
521	1314	1203
522	1318	1202
523	1324	1203
524	1329	1202
525	1332	1200
526	1335	1198
527	1337	1195
528	1341	1194
529	1344	1191
530	1347	1190
531	1349	1187
532	1352	1185
533	1354	1181
534	1355	1178
535	1357	1175
536	1359	1171
537	1360	1168
538	1363	1166
539	1367	1164
540	1369	1161
541	1371	1158
542	1373	1155
543	1375	1153
544	1378	1150
545	1380	1147
546	1382	1145
547	1384	1142
548	1386	1138
549	1387	1135
550	1391	1133
551	1393	1130
552	1394	1127
553	1396	1124
554	1398	1121
555	1399	1117
556	1401	1114
557	1403	1111
558	1406	1109
559	1408	1106
560	1410	1103
561	1412	1100
562	1413	1097
563	1416	1094
564	1418	1091
565	1421	1089
566	1424	1087
567	1427	1085
568	1429	1083
569	1431	1080
570	1447	1087
571	1449	1084
572	1455	1084
573	1457	1082
574	1462	1080
575	1465	1078
576	1470	1077
577	1471	1074
578	1473	1071
579	1474	1068
580	1476	1064
581	1477	1061
582	1478	1057
583	1480	1054
584	1482	1051
585	1485	1049
586	1486	1046
587	1488	1042
588	1489	1039
589	1490	1036
590	1492	1032
591	1494	1029
592	1495	1026
593	1496	1023
594	1499	1020
595	1501	1017
596	1502	1014
597	1504	1011
598	1505	1008
599	1507	1004
600	1508	1001
601	1511	999
602	1514	997
603	1516	994
604	1517	990
605	1519	987
606	1520	984
607	1522	981
608	1524	978
609	1525	975
610	1526	971
611	1529	969
612	1531	966
613	1533	963
614	1534	960
615	1535	957
616	1537	954
617	1539	951
618	1540	948
619	1542	945
620	1544	942
621	1546	939
622	1548	936
623	1549	933
624	1550	930
625	1552	927
626	1553	924
627	1555	921
628	1557	918
629	1561	917
630	1563	914
631	1565	911
632	1568	909
633	1570	906
634	1572	903
635	1577	902
636	1579	900
637	1581	897
638	1583	894
639	1584	891
640	1587	888
641	1594	889
642	1598	887
643	1602	885
644	1609	885
645	1614	884
646	1618	883
647	1622	881
648	1626	879
649	1641	883
650	1645	882
651	1648	879
652	1652	878
653	1654	875
654	1655	872
655	1657	869
656	1659	866
657	1660	863
658	1662	860
659	1663	857
660	1667	855
661	1669	852
662	1671	849
663	1673	846
664	1676	844
665	1677	841
666	1679	838
667	1681	835
668	1683	832
669	1685	830
670	1687	827
671	1689	824
672	1691	821
673	1693	819
674	1699	818
675	1700	815
676	1702	812
677	1703	809
678	1705	806
679	1707	803
680	1708	800
681	1709	797
682	1712	794
683	1714	792
684	1716	789
685	1718	786
686	1719	783
687	1721	780
688	1722	777
689	1724	774
690	1727	772
691	1729	769
692	1730	766
693	1732	764
694	1734	761
695	1735	758
696	1737	755
697	1739	752
698	1742	750
699	1744	747
700	1746	744
701	1748	742
702	1750	739
703	1751	736
704	1753	733
705	1755	730
706	1758	728
707	1760	725
708	1762	723
709	1763	720
710	1764	717
711	1766	714
712	1767	711
713	1769	708
714	1771	706
715	1773	703
716	1775	700
717	1777	698
718	1779	695
719	1780	692
720	1782	689
721	1783	686
722	1785	683
723	1787	681
724	1788	678
725	1790	675
726	1792	673
727	1794	670
728	1795	667
729	1797	664
730	1798	661
731	1800	659
732	1803	656
733	1805	654
734	1807	651
735	1808	648
736	1810	646
737	1812	643
738	1813	640
739	1815	637
740	1817	635
741	1819	632
742	1821	630
743	1822	627
744	1824	624
745	1826	621
746	1827	618
747	1828	616
748	1830	613
749	1833	611
750	1834	608
751	1837	605
752	1842	604
753	1849	603
754	1851	600
755	1853	598
756	1854	595
757	1857	593
758	1860	590
759	1867	589
760	1870	587
761	1872	584
762	1878	583
763	1882	581
764	1884	578
765	1889	577
766	1892	575
767	1896	572
768	1898	570
769	1900	567
770	1903	565
771	1905	562
772	1912	561
773	1914	558
774	1916	556
775	1918	553
776	1920	551
777	1928	550
778	1931	547
779	1933	545
780	1936	542
781	1937	540
782	1941	538
783	1944	535
784	1946	533
785	1948	530
786	1949	527
787	1952	525
788	1956	523
789	1960	521
790	1962	518
791	1964	515
792	1965	513
793	1967	510
794	1970	508
795	1972	505
796	1975	503
797	1977	500
798	1979	497
799	1981	495
800	1983	492
801	1986	490
802	1989	488
803	1991	485
804	1993	482
805	1994	480
806	1996	477
807	1998	474
808	2001	472
809	2003	469
810	2005	467
811	2007	464
812	2009	462
813	2010	459
814	2012	456
815	2014	454
816	2018	452
817	2021	449
818	2023	447
819	2025	444
820	2027	442
821	2028	439
822	2032	437
823	2034	434
824	2036	431
